AEST: ATES, EAST, EATS, ETAS, SATE, SEAT, SETA, TAES, TEAS
AERS: ARES, ARSE, EARS, ERAS, RASE, SEAR, SERA
AILR: ARIL, LAIR, LARI, LIAR, LIRA, RAIL, RIAL
AELR: ARLE, EARL, LAER, LARE, LEAR, RALE, REAL
OSTW: OWTS, STOW, SWOT, TOWS, TWOS, WOST, WOTS
ADIS: AIDS, DAIS, DISA, SADI, SAID, SIDA
AIRS: AIRS, ARIS, RAIS, RIAS, SAIR, SARI
AELS: ALES, LASE, LEAS, SALE, SEAL, SLAE
AELM: ALME, LAME, LEAM, MALE, MEAL, MELA
AEMS: AMES, MAES, MASE, MESA, SAME, SEAM
APST: APTS, PAST, PATS, SPAT, STAP, TAPS
ADER: ARED, DARE, DEAR, EARD, RADE, READ
ARST: ARTS, RAST, RATS, STAR, TARS, TSAR
AELV: AVEL, LAVE, LEVA, VALE, VEAL, VELA
DEER: DEER, DERE, DREE, ERED, REDE, REED
DEIL: DEIL, DELI, DIEL, EILD, IDLE, LIED
DEOR: DERO, DOER, DORE, REDO, RODE, ROED
EELS: EELS, ELSE, LEES, SEEL, SELE, SLEE
EEMS: EMES, MEES, MESE, SEEM, SEME, SMEE
EORS: EROS, ORES, REOS, ROES, ROSE, SORE
AELT: LATE, LEAT, TAEL, TALE, TEAL, TELA
OPST: OPTS, POST, POTS, SPOT, STOP, TOPS
ERSU: RUES, RUSE, SUER, SURE, URES, USER
ASTW: STAW, SWAT, TAWS, TWAS, WAST, WATS
ABEL: ABLE, ALBE, BAEL, BALE, BLAE
AERY: AERY, AYRE, EYRA, YARE, YEAR
AEGN: AGEN, GAEN, GANE, GEAN, GENA
AEGR: AGER, AREG, GARE, GEAR, RAGE
AIKN: AKIN, IKAN, KAIN, KINA, NAIK
ACLO: ALCO, CALO, COAL, COLA, LOCA
ALPS: ALPS, LAPS, PALS, SALP, SLAP
ALST: ALTS, LAST, LATS, SALT, SLAT
AEMN: AMEN, MANE, MEAN, NAME, NEMA
AMPS: AMPS, MAPS, PAMS, SAMP, SPAM
AENS: ANES, EANS, SANE, SEAN, SENA
AEPR: APER, PARE, PEAR, RAPE, REAP
AEPS: APES, APSE, PASE, PEAS, SPAE
ANSW: AWNS, SAWN, SNAW, SWAN, WANS
BORS: BORS, BROS, ORBS, ROBS, SORB
DENS: DENS, ENDS, NEDS, SEND, SNED
DEIT: DIET, DITE, EDIT, TIDE, TIED
DILO: DIOL, IDOL, LIDO, LOID, OLID
AEHT: EATH, HAET, HATE, HEAT, THAE
EIMR: EMIR, MERI, MIRE, RIEM, RIME
EENS: ENES, ESNE, SEEN, SENE, SNEE
ELNO: ENOL, LENO, LONE, NOEL, NOLE
ENOS: EONS, NOES, NOSE, ONES, SONE
EGOR: ERGO, GOER, GORE, OGRE, REGO
EKSY: ESKY, KEYS, KYES, SYKE, YESK
EILV: EVIL, LIVE, VEIL, VILE, VLEI
ESTW: EWTS, STEW, TEWS, WEST, WETS
EFIN: FENI, FINE, NEIF, NIEF, NIFE
GINS: GINS, INGS, SIGN, SING, SNIG
HINS: HINS, HISN, NISH, SHIN, SINH
HIST: HIST, HITS, SHIT, SITH, THIS
HMOS: HOMS, MHOS, MOSH, OHMS, SHMO
HOPS: HOPS, PHOS, POSH, SHOP, SOPH
HOST: HOST, HOTS, SHOT, SOTH, TOSH
INOR: INRO, IRON, NOIR, NORI, ROIN
EIRS: IRES, REIS, RISE, SEIR, SIRE
EILS: ISLE, LEIS, LIES, SEIL, SILE
AELP: LEAP, PALE, PEAL, PELA, PLEA
EILR: LEIR, LIER, LIRE, RIEL, RILE
ILST: LIST, LITS, SILT, SLIT, TILS
AEMT: MATE, MEAT, META, TAME, TEAM
MSTU: MUST, MUTS, SMUT, STUM, TUMS
ENST: NEST, NETS, SENT, STEN, TENS
NOSW: NOWS, OWNS, SNOW, SOWN, WONS
ENSY: NYES, SNYE, SYEN, SYNE, YENS
AOST: OAST, OATS, STOA, TAOS, TOSA
ORST: ORTS, ROST, ROTS, SORT, TORS
APRT: PART, PRAT, RAPT, TARP, TRAP
APSW: PAWS, SPAW, SWAP, WAPS, WASP
EPST: PEST, PETS, SEPT, SPET, STEP
IORT: RIOT, ROTI, TIRO, TORI, TRIO
ABET: ABET, BATE, BEAT, BETA
ABOS: ABOS, BOAS, OBAS, SOBA
ABTU: ABUT, BUAT, TABU, TUBA
ACDE: ACED, CADE, DACE, ECAD
ACER: ACER, ACRE, CARE, RACE
ACES: ACES, AESC, CASE, CEAS
ACST: ACTS, CAST, CATS, SCAT
ADOS: ADOS, ODAS, SADO, SODA
ADEG: AGED, EGAD, GADE, GAED
ADEH: AHED, HADE, HAED, HEAD
AILS: AILS, LIAS, SAIL, SIAL
AIMS: AIMS, AMIS, SAIM, SIMA
AINS: AINS, ANIS, ISNA, SAIN
AIRT: AIRT, ARTI, RAIT, TIAR
AIST: AITS, ITAS, SATI, TAIS
AEKS: AKES, KAES, KEAS, SAKE
AALN: ALAN, ANAL, LANA, NALA
ABLS: ALBS, BALS, LABS, SLAB
AEFL: ALEF, FEAL, FLEA, LEAF
AILT: ALIT, LATI, TAIL, TALI
AALM: ALMA, AMLA, LAMA, MALA
ALMS: ALMS, LAMS, MALS, SLAM
AAMS: AMAS, MAAS, MASA, SAMA
AIMN: AMIN, MAIN, MANI, MINA
AIMR: AMIR, MAIR, RAMI, RIMA
AANN: ANAN, ANNA, NAAN, NANA
ADNS: ANDS, DANS, NADS, SAND
AENW: ANEW, WANE, WEAN, WENA
AENT: ANTE, ETNA, NEAT, TANE
AINT: ANTI, TAIN, TIAN, TINA
ANST: ANTS, NATS, SANT, TANS
AOPS: APOS, APSO, POAS, SOAP
AERT: ARET, RATE, TARE, TEAR
ADIR: ARID, DARI, RAID, RIAD
AHSY: ASHY, HAYS, SHAY, YAHS
APSS: ASPS, PASS, SAPS, SPAS
ACOT: ATOC, COAT, OCTA, TACO
ADLU: AULD, DUAL, LAUD, UDAL
AERV: AVER, RAVE, VARE, VERA
AESV: AVES, SAVE, VAES, VASE
AESY: AYES, EASY, EYAS, YEAS
ABDR: BARD, BRAD, DARB, DRAB
ABKR: BARK, BRAK, KBAR, KRAB
ABST: BAST, BATS, STAB, TABS
BEIN: BEIN, BENI, BIEN, BINE
BLOO: BOLO, BOOL, LOBO, OBOL
BRSU: BRUS, BURS, RUBS, URBS
BSTU: BUST, BUTS, STUB, TUBS
CDEI: CEDI, CIDE, DICE, ICED
CINO: CION, COIN, CONI, ICON
CEIR: CIRE, ERIC, ICER, RICE
CDEO: CODE, COED, DECO, ECOD
COST: COST, COTS, SCOT, TOCS
CRSU: CRUS, CURS, RUCS, SCUR
ADHS: DAHS, DASH, HADS, SHAD
ADEL: DALE, DEAL, LADE, LEAD
DELO: DELO, DOLE, LODE, OLDE
DELS: DELS, ELDS, SELD, SLED
DEIN: DENI, DINE, NIDE, NIED
DEIS: DESI, DIES, IDES, SIDE
DESU: DEUS, DUES, SUED, USED
DHOS: DOHS, DOSH, HODS, SHOD
DLOS: DOLS, LODS, OLDS, SOLD
DOOR: DOOR, ODOR, ORDO, ROOD
DORS: DORS, ORDS, RODS, SORD
DELU: DUEL, DULE, LEUD, LUDE
DERU: DURE, RUDE, RUED, URDE
AENR: EARN, NARE, NEAR, REAN
EFST: EFTS, FEST, FETS, TEFS
AEGM: EGMA, GAME, MAGE, MEGA
EGOS: EGOS, GEOS, GOES, SEGO
AELN: ELAN, LANE, LEAN, NEAL
ELMY: ELMY, LYME, YELM, YLEM
ELST: ELTS, LEST, LETS, TELS
EIMT: EMIT, ITEM, MITE, TIME
EMOS: EMOS, MOES, MOSE, SOME
ELOR: EORL, LORE, ORLE, ROLE
EOPS: EPOS, OPES, PESO, POSE
EERS: ERES, REES, SEER, SERE
ERST: ERST, REST, RETS, TRES
EESS: ESES, ESSE, SEES, SESE
EPSY: ESPY, PYES, SYPE, YEPS
EENT: ETEN, NETE, TEEN, TENE
EHST: ETHS, HEST, HETS, SHET
EEFR: FEER, FERE, FREE, REEF
EFIR: FIER, FIRE, REIF, RIFE
EFRT: FRET, REFT, TERF, TREF
AGNS: GANS, NAGS, SANG, SNAG
AGST: GAST, GATS, STAG, TAGS
AGRU: GAUR, GUAR, RAGU, RUGA
GNSU: GNUS, GUNS, SNUG, SUNG
EGLO: GOEL, GOLE, LOGE, OGLE
GNOS: GONS, NOGS, SNOG, SONG
GHSU: GUSH, HUGS, SUGH, UGHS
AHPS: HAPS, HASP, PAHS, PASH
AHRT: HART, RATH, TAHR, THAR
